route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106330F2149260:2023-12-16T00:32:33Z,106330,0,49,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106330F2606568:2023-12-05T00:34:08Z,106330,0,50,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106330F2898553:2023-12-16T00:32:33Z,106330,0,51,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106331F2766261:2023-12-16T00:32:33Z,106331,0,52,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN106331F2766262:2023-12-05T00:34:08Z,106331,0,53,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000025,OCESN106331F2766358:2023-11-09T00:39:32Z,106331,0,54,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106331F2898318:2023-12-16T00:32:33Z,106331,0,55,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN106342F2479649:2023-12-15T00:30:47Z,106342,0,56,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN106342F2606461:2023-12-05T00:34:08Z,106342,0,57,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106347F2479672:2023-12-16T00:32:33Z,106347,0,58,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106347F2606465:2023-12-05T00:34:08Z,106347,0,59,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106347F2898540:2023-12-16T00:32:33Z,106347,0,60,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000026,OCESN106350F2479898:2023-12-16T00:32:33Z,106350,0,61,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN106350F2606453:2023-12-05T00:34:08Z,106350,0,62,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106350F2898444:2023-12-16T00:32:33Z,106350,0,63,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN106367F2480247:2023-12-15T00:30:47Z,106367,0,64,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN106367F2606550:2023-12-05T00:34:08Z,106367,0,65,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN106377F2346962:2023-12-16T00:32:33Z,106377,0,66,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000027,OCESN106377F2606475:2023-12-05T00:34:08Z,106377,0,67,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106377F2898475:2023-12-16T00:32:33Z,106377,0,68,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106378F2370737:2023-12-16T00:32:33Z,106378,0,69,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106378F2606431:2023-12-05T00:34:08Z,106378,0,70,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106378F2898724:2023-12-16T00:32:33Z,106378,0,71,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN106379F2479266:2023-12-15T00:30:47Z,106379,0,72,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN106379F2606330:2023-12-05T00:34:08Z,106379,0,73,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN106437F2479663:2023-12-16T00:32:33Z,106437,0,74,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN106437F2606482:2023-12-05T00:34:08Z,106437,0,75,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106437F2898463:2023-12-16T00:32:33Z,106437,0,76,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN106442F2479704:2023-12-15T00:30:47Z,106442,0,77,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN106442F2606443:2023-12-05T00:34:08Z,106442,0,78,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106450F2477239:2023-12-16T00:32:33Z,106450,0,79,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106450F2606363:2023-12-05T00:34:08Z,106450,0,80,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106450F2898596:2023-12-16T00:32:33Z,106450,0,81,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000028,OCESN106461F2478222:2023-12-14T00:31:20Z,106461,0,82,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000029,OCESN106461F2481473:2023-12-15T00:30:47Z,106461,0,83,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN106461F2606497:2023-12-05T00:34:08Z,106461,0,84,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000030,OCESN106461F2606739:2023-12-05T00:34:08Z,106461,0,85,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN106485F2480060:2023-12-16T00:32:33Z,106485,0,86,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN106485F2606513:2023-12-05T00:34:08Z,106485,0,87,
