trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN117752F3032774:2024-04-13T00:36:25Z	05:00:00	05:00:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-13
OCESN117752F3032774:2024-04-13T00:36:25Z	05:08:00	05:18:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-13
OCESN117752F3032774:2024-04-13T00:36:25Z	05:30:00	05:32:00	StopPoint:OCETrain TER-87721282	2		0	0		2024-04-13
OCESN117752F3032774:2024-04-13T00:36:25Z	05:40:00	05:42:00	StopPoint:OCETrain TER-87721332	3		0	0		2024-04-13
OCESN117752F3032774:2024-04-13T00:36:25Z	05:49:00	05:50:00	StopPoint:OCETrain TER-87721357	4		0	0		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	08:15:00	08:15:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	08:23:00	08:28:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	08:49:00	08:50:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	09:00:00	09:01:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	09:16:00	09:17:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	11:06:00	11:07:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-04-13
OCESN16848F2898466:2024-04-13T00:36:25Z	11:35:00	11:36:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-04-13
OCESN16848F3191889:2024-04-13T00:36:25Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-13
OCESN16848F3191889:2024-04-13T00:36:25Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-13
OCESN16848F3191889:2024-04-13T00:36:25Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-13
