trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN105377F3062797:2024-03-11T00:28:22Z	13:23:00	13:23:00	StopPoint:OCENavette-87571240	0		0	1		2024-03-11
OCESN105377F3062797:2024-03-11T00:28:22Z	13:28:00	13:28:00	StopPoint:OCENavette-87571000	1		1	0		2024-03-11
OCESN105431F2606493:2024-03-11T00:28:22Z	07:29:00	07:29:00	StopPoint:OCENavette-87571240	0		0	1		2024-03-11
OCESN105431F2606493:2024-03-11T00:28:22Z	07:34:00	07:34:00	StopPoint:OCENavette-87571000	1		1	0		2024-03-11
OCESN106342F2606461:2024-03-11T00:28:22Z	17:09:00	17:09:00	StopPoint:OCENavette-87571000	0		0	1		2024-03-11
OCESN106342F2606461:2024-03-11T00:28:22Z	17:14:00	17:14:00	StopPoint:OCENavette-87571240	1		1	0		2024-03-11
OCESN106367F2606550:2024-03-11T00:28:22Z	18:23:00	18:23:00	StopPoint:OCENavette-87571000	0		0	1		2024-03-11
OCESN106367F2606550:2024-03-11T00:28:22Z	18:28:00	18:28:00	StopPoint:OCENavette-87571240	1		1	0		2024-03-11
OCESN106377F3062328:2024-03-11T00:28:22Z	13:10:00	13:10:00	StopPoint:OCENavette-87571000	0		0	1		2024-03-11
OCESN106377F3062328:2024-03-11T00:28:22Z	13:15:00	13:15:00	StopPoint:OCENavette-87571240	1		1	0		2024-03-11
OCESN107260F2606452:2024-03-11T00:28:22Z	19:06:00	19:06:00	StopPoint:OCENavette-87571240	0		0	1		2024-03-11
OCESN107260F2606452:2024-03-11T00:28:22Z	19:11:00	19:11:00	StopPoint:OCENavette-87571000	1		1	0		2024-03-11
OCESN108359F2606510:2024-03-11T00:28:22Z	21:22:00	21:22:00	StopPoint:OCENavette-87571000	0		0	1		2024-03-11
OCESN108359F2606510:2024-03-11T00:28:22Z	21:27:00	21:27:00	StopPoint:OCENavette-87571240	1		1	0		2024-03-11
OCESN13104F2488211:2024-03-11T00:28:22Z	06:11:00	06:11:00	StopPoint:OCETrain TER-87411017	0		0	1		2024-03-11
OCESN13104F2488211:2024-03-11T00:28:22Z	06:20:00	06:21:00	StopPoint:OCETrain TER-87411207	1		0	0		2024-03-11
OCESN13104F2488211:2024-03-11T00:28:22Z	06:29:00	06:29:00	StopPoint:OCETrain TER-87415877	2		1	0		2024-03-11
OCESN13105F2479458:2024-03-11T00:28:22Z	07:33:00	07:33:00	StopPoint:OCETrain TER-87415877	0		0	1		2024-03-11
OCESN13105F2479458:2024-03-11T00:28:22Z	07:41:00	07:42:00	StopPoint:OCETrain TER-87411207	1		0	0		2024-03-11
