trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN16848F3126199:2024-04-14T00:34:40Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-14
OCESN16848F3126199:2024-04-14T00:34:40Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-14
OCESN16848F3126199:2024-04-14T00:34:40Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-14
OCESN16848F3126199:2024-04-14T00:34:40Z	14:07:00	14:08:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-04-14
OCESN16848F3126199:2024-04-14T00:34:40Z	14:23:00	14:24:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-04-14
OCESN16848F3126199:2024-04-14T00:34:40Z	16:01:00	16:02:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-04-14
OCESN16848F3126199:2024-04-14T00:34:40Z	16:20:00	16:21:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	14:07:00	14:08:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	14:23:00	14:24:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	16:01:00	16:02:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-04-14
OCESN16848F3213561:2024-04-14T00:34:40Z	16:20:00	16:21:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-04-14
