trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN16840F2486971:2024-03-12T00:27:06Z	15:07:00	15:08:00	StopPoint:OCETrain TER-87696328	12		0	0		2024-03-12
OCESN16840F2486971:2024-03-12T00:27:06Z	15:26:00	15:27:00	StopPoint:OCETrain TER-87696427	13		0	0		2024-03-12
OCESN16840F2486971:2024-03-12T00:27:06Z	16:55:00	16:56:00	StopPoint:OCETrain TER-87721860	19		0	0		2024-03-12
OCESN16840F2486971:2024-03-12T00:27:06Z	17:11:00	17:12:00	StopPoint:OCETrain TER-87721787	20		0	0		2024-03-12
OCESN16840F2486971:2024-03-12T00:27:06Z	17:20:00	17:22:00	StopPoint:OCETrain TER-87721423	21		0	0		2024-03-12
OCESN16840F2486971:2024-03-12T00:27:06Z	17:52:00	17:55:00	StopPoint:OCETrain TER-87723197	22		0	0		2024-03-12
OCESN16840F2486971:2024-03-12T00:27:06Z	18:03:00	18:03:00	StopPoint:OCETrain TER-87722025	23		1	0		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	14:07:00	14:08:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	14:23:00	14:24:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	16:01:00	16:02:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-03-12
OCESN16848F3126199:2024-03-12T00:27:06Z	16:20:00	16:21:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	14:07:00	14:08:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	14:23:00	14:24:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	16:01:00	16:02:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-03-12
OCESN16848F3139302:2024-03-12T00:27:06Z	16:20:00	16:21:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	06:57:00	06:58:00	StopPoint:OCETrain TER-87761874	2		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	07:15:00	07:17:00	StopPoint:OCETrain TER-87761841	3		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	07:38:00	07:40:00	StopPoint:OCETrain TER-87761817	4		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	07:53:00	07:54:00	StopPoint:OCETrain TER-87761783	5		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	08:12:00	08:13:00	StopPoint:OCETrain TER-87761247	6		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	08:23:00	08:27:00	StopPoint:OCETrain TER-87761007	7		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	08:34:00	08:36:00	StopPoint:OCETrain TER-87763029	8		0	0		2024-03-12
OCESN17352F3092715:2024-03-12T00:27:06Z	08:44:00	08:44:00	StopPoint:OCETrain TER-87761650	9		1	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	06:57:00	06:58:00	StopPoint:OCETrain TER-87761874	2		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	07:15:00	07:17:00	StopPoint:OCETrain TER-87761841	3		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	07:38:00	07:40:00	StopPoint:OCETrain TER-87761817	4		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	07:53:00	07:54:00	StopPoint:OCETrain TER-87761783	5		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	08:12:00	08:13:00	StopPoint:OCETrain TER-87761247	6		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	08:23:00	08:27:00	StopPoint:OCETrain TER-87761007	7		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	08:34:00	08:36:00	StopPoint:OCETrain TER-87763029	8		0	0		2024-03-12
OCESN17352F3138272:2024-03-12T00:27:06Z	08:44:00	08:44:00	StopPoint:OCETrain TER-87761650	9		1	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	09:47:00	09:47:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	09:53:00	09:55:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	10:02:00	10:04:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	10:15:00	10:17:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	10:34:00	10:36:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	10:49:00	10:51:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	11:12:00	11:18:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-03-12
OCESN17353F3008124:2024-03-12T00:27:06Z	11:34:00	11:36:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	09:47:00	09:47:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	09:53:00	09:55:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	10:02:00	10:04:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	10:15:00	10:17:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	10:34:00	10:36:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	10:49:00	10:51:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	11:12:00	11:18:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-03-12
OCESN17353F3009085:2024-03-12T00:27:06Z	11:34:00	11:36:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	09:47:00	09:47:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	09:53:00	09:55:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	10:02:00	10:04:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	10:15:00	10:17:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	10:34:00	10:36:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	10:49:00	10:51:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	11:12:00	11:18:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-03-12
OCESN17353F3139814:2024-03-12T00:27:06Z	11:34:00	11:36:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	09:47:00	09:47:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	09:53:00	09:55:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	10:02:00	10:04:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	10:15:00	10:17:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	10:34:00	10:36:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	10:49:00	10:51:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	11:12:00	11:18:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-03-12
OCESN17353F3140023:2024-03-12T00:27:06Z	11:34:00	11:36:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17361F2927929:2024-03-12T00:27:06Z	14:40:00	14:40:00	StopPoint:OCETrain TER-87761007	0		0	1		2024-03-12
OCESN17361F2927929:2024-03-12T00:27:06Z	14:51:00	14:54:00	StopPoint:OCETrain TER-87761247	1		0	0		2024-03-12
OCESN17361F2927929:2024-03-12T00:27:06Z	15:13:00	15:15:00	StopPoint:OCETrain TER-87761783	2		0	0		2024-03-12
OCESN17361F2927929:2024-03-12T00:27:06Z	15:27:00	15:29:00	StopPoint:OCETrain TER-87761817	3		0	0		2024-03-12
OCESN17361F2927929:2024-03-12T00:27:06Z	15:50:00	15:52:00	StopPoint:OCETrain TER-87761841	4		0	0		2024-03-12
OCESN17361F2927929:2024-03-12T00:27:06Z	16:09:00	16:11:00	StopPoint:OCETrain TER-87761874	5		0	0		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	14:16:00	14:16:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	14:24:00	14:26:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	14:34:00	14:40:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	14:51:00	14:54:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	15:13:00	15:15:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	15:50:00	15:52:00	StopPoint:OCETrain TER-87761841	5		0	0		2024-03-12
OCESN17361F2928848:2024-03-12T00:27:06Z	16:09:00	16:11:00	StopPoint:OCETrain TER-87761874	6		0	0		2024-03-12
OCESN17361F3139548:2024-03-12T00:27:06Z	14:40:00	14:40:00	StopPoint:OCETrain TER-87761007	0		0	1		2024-03-12
OCESN17361F3139548:2024-03-12T00:27:06Z	14:51:00	14:54:00	StopPoint:OCETrain TER-87761247	1		0	0		2024-03-12
OCESN17361F3139548:2024-03-12T00:27:06Z	15:13:00	15:15:00	StopPoint:OCETrain TER-87761783	2		0	0		2024-03-12
OCESN17361F3139548:2024-03-12T00:27:06Z	15:27:00	15:29:00	StopPoint:OCETrain TER-87761817	3		0	0		2024-03-12
OCESN17361F3139548:2024-03-12T00:27:06Z	15:50:00	15:52:00	StopPoint:OCETrain TER-87761841	4		0	0		2024-03-12
OCESN17361F3139548:2024-03-12T00:27:06Z	16:09:00	16:11:00	StopPoint:OCETrain TER-87761874	5		0	0		2024-03-12
OCESN17364F2927480:2024-03-12T00:27:06Z	08:33:00	08:35:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17364F2927480:2024-03-12T00:27:06Z	08:52:00	08:54:00	StopPoint:OCETrain TER-87761841	8		0	0		2024-03-12
OCESN17364F2927480:2024-03-12T00:27:06Z	09:15:00	09:17:00	StopPoint:OCETrain TER-87761817	9		0	0		2024-03-12
OCESN17364F2927480:2024-03-12T00:27:06Z	09:30:00	09:32:00	StopPoint:OCETrain TER-87761783	10		0	0		2024-03-12
OCESN17364F2927480:2024-03-12T00:27:06Z	09:50:00	09:52:00	StopPoint:OCETrain TER-87761247	11		0	0		2024-03-12
OCESN17364F2927480:2024-03-12T00:27:06Z	10:03:00	10:03:00	StopPoint:OCETrain TER-87761007	12		1	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	08:33:00	08:35:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	08:52:00	08:54:00	StopPoint:OCETrain TER-87761841	8		0	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	09:30:00	09:32:00	StopPoint:OCETrain TER-87761783	9		0	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	09:50:00	09:52:00	StopPoint:OCETrain TER-87761247	10		0	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	10:03:00	10:10:00	StopPoint:OCETrain TER-87761007	11		0	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	10:17:00	10:19:00	StopPoint:OCETrain TER-87763029	12		0	0		2024-03-12
OCESN17364F3003736:2024-03-12T00:27:06Z	10:26:00	10:26:00	StopPoint:OCETrain TER-87761650	13		1	0		2024-03-12
OCESN17364F3140059:2024-03-12T00:27:06Z	08:33:00	08:35:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-03-12
OCESN17364F3140059:2024-03-12T00:27:06Z	08:52:00	08:54:00	StopPoint:OCETrain TER-87761841	8		0	0		2024-03-12
OCESN17364F3140059:2024-03-12T00:27:06Z	09:15:00	09:17:00	StopPoint:OCETrain TER-87761817	9		0	0		2024-03-12
OCESN17364F3140059:2024-03-12T00:27:06Z	09:30:00	09:32:00	StopPoint:OCETrain TER-87761783	10		0	0		2024-03-12
OCESN17364F3140059:2024-03-12T00:27:06Z	09:50:00	09:52:00	StopPoint:OCETrain TER-87761247	11		0	0		2024-03-12
OCESN17364F3140059:2024-03-12T00:27:06Z	10:03:00	10:03:00	StopPoint:OCETrain TER-87761007	12		1	0		2024-03-12
OCESN17365F2926687:2024-03-12T00:27:06Z	17:44:00	17:44:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-03-12
OCESN17365F2926687:2024-03-12T00:27:06Z	17:50:00	17:51:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-03-12
OCESN17365F2926687:2024-03-12T00:27:06Z	17:58:00	18:00:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-03-12
OCESN17365F2926687:2024-03-12T00:27:06Z	18:11:00	18:13:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-03-12
OCESN17365F2926687:2024-03-12T00:27:06Z	18:30:00	18:34:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-03-12
