trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN16840F2486971:2024-04-08T00:39:33Z	15:07:00	15:08:00	StopPoint:OCETrain TER-87696328	12		0	0		2024-04-08
OCESN16840F2486971:2024-04-08T00:39:33Z	15:26:00	15:27:00	StopPoint:OCETrain TER-87696427	13		0	0		2024-04-08
OCESN16840F2486971:2024-04-08T00:39:33Z	16:55:00	16:56:00	StopPoint:OCETrain TER-87721860	19		0	0		2024-04-08
OCESN16840F2486971:2024-04-08T00:39:33Z	17:11:00	17:12:00	StopPoint:OCETrain TER-87721787	20		0	0		2024-04-08
OCESN16840F2486971:2024-04-08T00:39:33Z	17:20:00	17:22:00	StopPoint:OCETrain TER-87721423	21		0	0		2024-04-08
OCESN16840F2486971:2024-04-08T00:39:33Z	17:52:00	17:55:00	StopPoint:OCETrain TER-87723197	22		0	0		2024-04-08
OCESN16840F2486971:2024-04-08T00:39:33Z	18:03:00	18:03:00	StopPoint:OCETrain TER-87722025	23		1	0		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	08:15:00	08:15:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	08:23:00	08:28:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	08:49:00	08:50:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	09:00:00	09:01:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	09:16:00	09:17:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	11:06:00	11:07:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-04-08
OCESN16848F2898466:2024-04-08T00:39:33Z	11:35:00	11:36:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-04-08
