trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN117752F3032774:2024-04-04T00:40:05Z	05:00:00	05:00:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-04
OCESN117752F3032774:2024-04-04T00:40:05Z	05:08:00	05:18:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-04
OCESN117752F3032774:2024-04-04T00:40:05Z	05:30:00	05:32:00	StopPoint:OCETrain TER-87721282	2		0	0		2024-04-04
OCESN117752F3032774:2024-04-04T00:40:05Z	05:40:00	05:42:00	StopPoint:OCETrain TER-87721332	3		0	0		2024-04-04
OCESN117752F3032774:2024-04-04T00:40:05Z	05:49:00	05:50:00	StopPoint:OCETrain TER-87721357	4		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	15:07:00	15:08:00	StopPoint:OCETrain TER-87696328	12		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	15:26:00	15:27:00	StopPoint:OCETrain TER-87696427	13		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	16:55:00	16:56:00	StopPoint:OCETrain TER-87721860	19		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	17:11:00	17:12:00	StopPoint:OCETrain TER-87721787	20		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	17:20:00	17:22:00	StopPoint:OCETrain TER-87721423	21		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	17:52:00	17:55:00	StopPoint:OCETrain TER-87723197	22		0	0		2024-04-04
OCESN16840F2486971:2024-04-04T00:40:05Z	18:03:00	18:03:00	StopPoint:OCETrain TER-87722025	23		1	0		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	14:07:00	14:08:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	14:23:00	14:24:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	16:01:00	16:02:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-04-04
OCESN16848F3126199:2024-04-04T00:40:05Z	16:20:00	16:21:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	13:25:00	13:25:00	StopPoint:OCETrain TER-87722025	0		0	1		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	13:33:00	13:38:00	StopPoint:OCETrain TER-87723197	1		0	0		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	13:57:00	13:58:00	StopPoint:OCETrain TER-87721423	2		0	0		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	14:07:00	14:08:00	StopPoint:OCETrain TER-87721787	3		0	0		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	14:23:00	14:24:00	StopPoint:OCETrain TER-87721860	4		0	0		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	16:01:00	16:02:00	StopPoint:OCETrain TER-87696427	10		0	0		2024-04-04
OCESN16848F3191889:2024-04-04T00:40:05Z	16:20:00	16:21:00	StopPoint:OCETrain TER-87696328	11		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	06:01:00	06:01:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	06:12:00	06:13:00	StopPoint:OCETrain TER-87747329	1		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	06:19:00	06:20:00	StopPoint:OCETrain TER-87761759	2		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	06:29:00	06:30:00	StopPoint:OCETrain TER-87761726	3		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	06:37:00	06:39:00	StopPoint:OCETrain TER-87761718	4		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	06:56:00	06:58:00	StopPoint:OCETrain TER-87761650	5		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	07:04:00	07:07:00	StopPoint:OCETrain TER-87763029	6		0	0		2024-04-04
OCESN17500F3173160:2024-04-04T00:40:05Z	07:15:00	07:15:00	StopPoint:OCETrain TER-87761007	7		1	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	06:01:00	06:01:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	06:12:00	06:13:00	StopPoint:OCETrain TER-87747329	1		0	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	06:19:00	06:20:00	StopPoint:OCETrain TER-87761759	2		0	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	06:29:00	06:30:00	StopPoint:OCETrain TER-87761726	3		0	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	06:37:00	06:39:00	StopPoint:OCETrain TER-87761718	4		0	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	06:56:00	06:58:00	StopPoint:OCETrain TER-87761650	5		0	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	07:04:00	07:07:00	StopPoint:OCETrain TER-87763029	6		0	0		2024-04-04
OCESN17500F3211091:2024-04-04T00:40:05Z	07:15:00	07:15:00	StopPoint:OCETrain TER-87761007	7		1	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	06:01:00	06:01:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	06:12:00	06:13:00	StopPoint:OCETrain TER-87747329	1		0	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	06:19:00	06:20:00	StopPoint:OCETrain TER-87761759	2		0	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	06:29:00	06:30:00	StopPoint:OCETrain TER-87761726	3		0	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	06:37:00	06:39:00	StopPoint:OCETrain TER-87761718	4		0	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	06:56:00	06:58:00	StopPoint:OCETrain TER-87761650	5		0	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	07:04:00	07:07:00	StopPoint:OCETrain TER-87763029	6		0	0		2024-04-04
OCESN17500F3213363:2024-04-04T00:40:05Z	07:15:00	07:15:00	StopPoint:OCETrain TER-87761007	7		1	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	05:40:00	05:40:00	StopPoint:OCETrain TER-87741009	0		0	1		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	05:49:00	05:50:00	StopPoint:OCETrain TER-87741181	1		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	05:57:00	05:58:00	StopPoint:OCETrain TER-87747493	2		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	06:17:00	06:18:00	StopPoint:OCETrain TER-87747402	3		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	06:27:00	06:30:00	StopPoint:OCETrain TER-87747006	4		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	06:41:00	06:43:00	StopPoint:OCETrain TER-87747329	5		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	06:48:00	06:50:00	StopPoint:OCETrain TER-87761759	6		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	07:03:00	07:05:00	StopPoint:OCETrain TER-87761718	7		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	07:13:00	07:14:00	StopPoint:OCETrain TER-87761684	8		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	07:25:00	07:27:00	StopPoint:OCETrain TER-87761650	9		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	07:33:00	07:35:00	StopPoint:OCETrain TER-87763029	10		0	0		2024-04-04
OCESN17503F3173798:2024-04-04T00:40:05Z	07:43:00	07:43:00	StopPoint:OCETrain TER-87761007	11		1	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	05:40:00	05:40:00	StopPoint:OCETrain TER-87741009	0		0	1		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	05:49:00	05:50:00	StopPoint:OCETrain TER-87741181	1		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	05:57:00	05:58:00	StopPoint:OCETrain TER-87747493	2		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	06:17:00	06:18:00	StopPoint:OCETrain TER-87747402	3		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	06:27:00	06:30:00	StopPoint:OCETrain TER-87747006	4		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	06:41:00	06:43:00	StopPoint:OCETrain TER-87747329	5		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	06:48:00	06:50:00	StopPoint:OCETrain TER-87761759	6		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	07:03:00	07:05:00	StopPoint:OCETrain TER-87761718	7		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	07:13:00	07:14:00	StopPoint:OCETrain TER-87761684	8		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	07:25:00	07:27:00	StopPoint:OCETrain TER-87761650	9		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	07:33:00	07:35:00	StopPoint:OCETrain TER-87763029	10		0	0		2024-04-04
OCESN17503F3201645:2024-04-04T00:40:05Z	07:43:00	07:43:00	StopPoint:OCETrain TER-87761007	11		1	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	05:40:00	05:40:00	StopPoint:OCETrain TER-87741009	0		0	1		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	05:49:00	05:50:00	StopPoint:OCETrain TER-87741181	1		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	05:57:00	05:58:00	StopPoint:OCETrain TER-87747493	2		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	06:17:00	06:18:00	StopPoint:OCETrain TER-87747402	3		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	06:27:00	06:30:00	StopPoint:OCETrain TER-87747006	4		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	06:41:00	06:43:00	StopPoint:OCETrain TER-87747329	5		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	06:48:00	06:50:00	StopPoint:OCETrain TER-87761759	6		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	07:03:00	07:05:00	StopPoint:OCETrain TER-87761718	7		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	07:13:00	07:14:00	StopPoint:OCETrain TER-87761684	8		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	07:25:00	07:27:00	StopPoint:OCETrain TER-87761650	9		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	07:33:00	07:35:00	StopPoint:OCETrain TER-87763029	10		0	0		2024-04-04
OCESN17503F3213894:2024-04-04T00:40:05Z	07:43:00	07:43:00	StopPoint:OCETrain TER-87761007	11		1	0		2024-04-04
OCESN17504F3169754:2024-04-04T00:40:05Z	07:10:00	07:10:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17504F3169754:2024-04-04T00:40:05Z	07:36:00	07:38:00	StopPoint:OCETrain TER-87761718	1		0	0		2024-04-04
OCESN17504F3169754:2024-04-04T00:40:05Z	07:57:00	07:58:00	StopPoint:OCETrain TER-87761650	2		0	0		2024-04-04
OCESN17504F3169754:2024-04-04T00:40:05Z	08:05:00	08:07:00	StopPoint:OCETrain TER-87763029	3		0	0		2024-04-04
OCESN17504F3169754:2024-04-04T00:40:05Z	08:14:00	08:14:00	StopPoint:OCETrain TER-87761007	4		1	0		2024-04-04
OCESN17504F3211301:2024-04-04T00:40:05Z	07:10:00	07:10:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17504F3211301:2024-04-04T00:40:05Z	07:36:00	07:38:00	StopPoint:OCETrain TER-87761718	1		0	0		2024-04-04
OCESN17504F3211301:2024-04-04T00:40:05Z	07:57:00	07:58:00	StopPoint:OCETrain TER-87761650	2		0	0		2024-04-04
OCESN17504F3211301:2024-04-04T00:40:05Z	08:05:00	08:07:00	StopPoint:OCETrain TER-87763029	3		0	0		2024-04-04
OCESN17504F3211301:2024-04-04T00:40:05Z	08:14:00	08:14:00	StopPoint:OCETrain TER-87761007	4		1	0		2024-04-04
OCESN17504F3214024:2024-04-04T00:40:05Z	07:10:00	07:10:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17504F3214024:2024-04-04T00:40:05Z	07:36:00	07:38:00	StopPoint:OCETrain TER-87761718	1		0	0		2024-04-04
OCESN17504F3214024:2024-04-04T00:40:05Z	07:57:00	07:58:00	StopPoint:OCETrain TER-87761650	2		0	0		2024-04-04
OCESN17504F3214024:2024-04-04T00:40:05Z	08:05:00	08:07:00	StopPoint:OCETrain TER-87763029	3		0	0		2024-04-04
OCESN17504F3214024:2024-04-04T00:40:05Z	08:14:00	08:14:00	StopPoint:OCETrain TER-87761007	4		1	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	07:30:00	07:30:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	07:41:00	07:43:00	StopPoint:OCETrain TER-87747329	1		0	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	07:48:00	07:50:00	StopPoint:OCETrain TER-87761759	2		0	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	08:03:00	08:05:00	StopPoint:OCETrain TER-87761718	3		0	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	08:13:00	08:14:00	StopPoint:OCETrain TER-87761684	4		0	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	08:25:00	08:27:00	StopPoint:OCETrain TER-87761650	5		0	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	08:33:00	08:35:00	StopPoint:OCETrain TER-87763029	6		0	0		2024-04-04
OCESN17506F3123193:2024-04-04T00:40:05Z	08:43:00	08:43:00	StopPoint:OCETrain TER-87761007	7		1	0		2024-04-04
