trip_id	arrival_time	departure_time	stop_id	stop_sequence	stop_headsign	pickup_type	drop_off_type	shape_dist_traveled	date
OCESN17353F3009085:2024-04-07T00:48:09Z	09:47:00	09:47:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	09:53:00	09:55:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	10:02:00	10:04:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	10:15:00	10:17:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	10:34:00	10:36:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	10:49:00	10:51:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	11:12:00	11:18:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-04-07
OCESN17353F3009085:2024-04-07T00:48:09Z	11:34:00	11:36:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	14:16:00	14:16:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	14:24:00	14:26:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	14:34:00	14:40:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	14:51:00	14:54:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	15:13:00	15:15:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	15:27:00	15:29:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	15:50:00	15:52:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-04-07
OCESN17361F2980016:2024-04-07T00:48:09Z	16:09:00	16:11:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	17:44:00	17:44:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	17:50:00	17:51:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	17:58:00	18:00:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	18:11:00	18:13:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	18:30:00	18:34:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	18:46:00	18:48:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	19:09:00	19:11:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-04-07
OCESN17365F2998535:2024-04-07T00:48:09Z	19:28:00	19:29:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	13:04:00	13:06:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	13:23:00	13:25:00	StopPoint:OCETrain TER-87761841	8		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	13:46:00	13:48:00	StopPoint:OCETrain TER-87761817	9		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	14:01:00	14:03:00	StopPoint:OCETrain TER-87761783	10		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	14:21:00	14:24:00	StopPoint:OCETrain TER-87761247	11		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	14:34:00	14:40:00	StopPoint:OCETrain TER-87761007	12		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	14:47:00	14:49:00	StopPoint:OCETrain TER-87763029	13		0	0		2024-04-07
OCESN17368F2929286:2024-04-07T00:48:09Z	14:56:00	14:56:00	StopPoint:OCETrain TER-87761650	14		1	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	19:52:00	19:52:00	StopPoint:OCETrain TER-87761650	0		0	1		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	19:59:00	20:00:00	StopPoint:OCETrain TER-87763029	1		0	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	20:07:00	20:09:00	StopPoint:OCETrain TER-87761007	2		0	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	20:20:00	20:22:00	StopPoint:OCETrain TER-87761247	3		0	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	20:39:00	20:40:00	StopPoint:OCETrain TER-87761783	4		0	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	20:53:00	20:54:00	StopPoint:OCETrain TER-87761817	5		0	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	21:15:00	21:17:00	StopPoint:OCETrain TER-87761841	6		0	0		2024-04-07
OCESN17369F2910859:2024-04-07T00:48:09Z	21:34:00	21:35:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	17:29:00	17:31:00	StopPoint:OCETrain TER-87761874	7		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	17:48:00	17:50:00	StopPoint:OCETrain TER-87761841	8		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	18:11:00	18:13:00	StopPoint:OCETrain TER-87761817	9		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	18:27:00	18:32:00	StopPoint:OCETrain TER-87761783	10		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	18:49:00	18:51:00	StopPoint:OCETrain TER-87761247	11		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	19:01:00	19:04:00	StopPoint:OCETrain TER-87761007	12		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	19:11:00	19:13:00	StopPoint:OCETrain TER-87763029	13		0	0		2024-04-07
OCESN17376F2927690:2024-04-07T00:48:09Z	19:20:00	19:20:00	StopPoint:OCETrain TER-87761650	14		1	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	06:33:00	06:33:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	06:41:00	06:43:00	StopPoint:OCETrain TER-87747402	1		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:01:00	07:02:00	StopPoint:OCETrain TER-87747493	2		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:08:00	07:10:00	StopPoint:OCETrain TER-87741181	3		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:20:00	07:23:00	StopPoint:OCETrain TER-87741009	4		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:33:00	07:36:00	StopPoint:OCETrain TER-87741132	5		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:40:00	07:42:00	StopPoint:OCETrain TER-87746107	6		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:48:00	07:50:00	StopPoint:OCETrain TER-87746115	7		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	07:58:00	07:59:00	StopPoint:OCETrain TER-87746149	8		0	0		2024-04-07
OCESN17553F3192929:2024-04-07T00:48:09Z	08:15:00	08:15:00	StopPoint:OCETrain TER-87746008	9		1	0		2024-04-07
OCESN17553F3211453:2024-04-07T00:48:09Z	06:33:00	06:33:00	StopPoint:OCETrain TER-87747006	0		0	1		2024-04-07
OCESN17553F3211453:2024-04-07T00:48:09Z	06:41:00	06:43:00	StopPoint:OCETrain TER-87747402	1		0	0		2024-04-07
OCESN17553F3211453:2024-04-07T00:48:09Z	07:01:00	07:02:00	StopPoint:OCETrain TER-87747493	2		0	0		2024-04-07
OCESN17553F3211453:2024-04-07T00:48:09Z	07:08:00	07:10:00	StopPoint:OCETrain TER-87741181	3		0	0		2024-04-07
